M,I,v,S,A,E_f,V_i,V_f,Q_i,Q_f,Ierr,g_i,g_f,DOI
26,1,202.45059499999934,9.670454160852549e-39,1.5777e-05,7212.942993000001,1 1 0 0 0 3 0E1g,1 1 0 3 0 0 0E1u,3A2g  1E1g,2A2u  1E1g,0.0012041594578792295,21,15,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,202.48677399999906,1.9017856675077093e-40,7.9499e-06,8036.967095,1 1 0 0 0 0 4E2g,0 2 0 0 1 0 1E2u,7A2g  2E2g,7A2u  2E2g,0.0005,45,45,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,202.84454800000094,2.435201846269329e-41,8.5538e-07,8289.256056999999,1 1 0 0 0 3 0E1g,2 1 0 0 0 0 0A2u,30A2g  1E1g,30A2u  0A1g,0.0006324555320336758,183,183,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,203.01470999999947,6.646522486815807e-42,0.0020058,10159.2631,1 2 0 1 0 0 0E1g,1 2 0 0 0 0 1E1u,31A2g  1E1g,30A2u  1E1g,0.001,189,183,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,204.24288499999966,3.5812394624696964e-43,1.5414e-07,8484.733754,2 1 0 0 0 0 2A2u,0 2 0 3 0 0 0E1g,6A2u  0A1g,7A2g  1E1g,0.000565685424949238,39,45,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,204.86551800000052,2.2588107371136255e-41,4.4714e-05,9043.871963,2 1 0 0 1 0 1E2g,2 1 0 0 2 0 0A2u,21A2g  2E2g,20A2u  0A1g,0.0007615773105863909,129,123,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,204.9188920000015,8.417541626193586e-42,8.6516e-07,8415.154147,1 1 0 0 0 0 4E2g,0 2 0 0 1 0 1E2u,19A2g  2E2g,19A2u  2E2g,0.0009219544457292887,117,117,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,205.99867399999857,1.6199542275952797e-42,0.00014562,9854.149106,1 2 0 1 0 0 0E1u,1 2 0 1 0 0 0E1g,24A2u  1E1g,23A2g  1E1g,0.0009848857801796104,147,141,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,206.14391499999965,6.072172927758995e-33,2.2176e-05,4850.194265,0 1 0 0 1 0 1E2u,0 1 0 1 0 1 0A1g,16A2u  2E2g,15A2g  0A2g,0.00044721359549995795,99,93,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,206.18499200000042,5.371295844100595e-43,0.00014704,9856.972378,1 2 0 1 0 0 0E1u,1 2 0 1 0 0 0E1g,24A1u  1E1g,23A1g  1E1g,0.0003162277660168379,49,47,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,206.21023800000057,2.261485733087741e-35,6.7246e-06,5516.356693,0 1 0 0 0 3 0E1g,0 1 0 3 0 0 0E1u,15A1g  1E1g,14A1u  1E1g,0.001140175425099138,31,29,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,206.54601300000058,7.568541912804587e-32,9.319400000000001e-06,4038.6673939999996,1 0 0 0 0 3 0E1u,2 0 0 0 0 0 0A1g,9A2u  1E1g,9A2g  0A2g,0.0003605551275463989,57,57,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,206.6295030000001,6.394114206764847e-41,0.00011192,9034.35651,0 2 0 0 2 1 0E1u,0 2 0 0 2 1 0E1g,23A2u  1E1g,22A2g  1E1g,0.0007211102550927978,141,135,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,206.88999899999908,2.503704631802066e-32,9.3925e-06,4061.9459880000004,1 0 0 0 0 3 0E1u,2 0 0 0 0 0 0A1g,10A1u  1E1g,10A1g  0A1g,0.0005,21,21,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,208.3841620000021,4.468404449710914e-42,6.0065e-07,8239.453868999999,0 2 0 0 2 1 0E1u,1 1 0 0 0 0 4E2g,6A2u  1E1g,7A2g  2E2g,0.0006708203932499369,39,45,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
